date,value
2025-12-01,4.719
2025-11-01,4.416
2025-10-01,4.234
2025-09-01,4.298
2025-08-01,4.275
2025-07-01,4.291
2025-06-01,4.208
2025-05-01,4.35
2025-04-01,4.267
2025-03-01,4.421
2025-02-01,4.423
2025-01-01,4.481
2024-12-01,4.313
2024-11-01,4.544
2024-10-01,4.267
2024-09-01,3.922
2024-08-01,3.976
2024-07-01,4.326
2024-06-01,4.242
2024-05-01,4.325
2024-04-01,4.268
2024-03-01,4.045
2024-02-01,4.141
2024-01-01,4.148
2023-12-01,4.187
2023-11-01,4.578
2023-10-01,4.633
2023-09-01,4.211
2023-08-01,4.128
2023-07-01,4.036
2023-06-01,3.916
2023-05-01,3.5
2023-04-01,3.343
2023-03-01,3.468
2023-02-01,3.702
2023-01-01,3.604
2022-12-01,3.551
2022-11-01,3.696
2022-10-01,3.919
2022-09-01,3.747
2022-08-01,3.361
2022-07-01,3.429
2022-06-01,3.767
2022-05-01,3.381
2022-04-01,3.008
2022-03-01,2.5
2022-02-01,2.111
2022-01-01,1.888
2021-12-01,1.609
2021-11-01,1.806
